SEQN,y
492834,1.1999414
309349,-1.0761677
468308,-1.1263511
838812,-2.4650507
947936,1.0901244
794779,2.3017836
34510,0.9146972
593667,0.5511724
198552,-2.0308015
419973,-0.38380986
121699,-1.4619516
955042,1.1012342
52130,-0.253606
915446,-0.18087825
111978,0.17046618
741159,-0.26842266
111228,-0.28335866
562295,0.5120952
129597,-2.0076022
800235,2.861651
631930,-0.4490717
942595,-1.2664711
397007,-0.3201654
237021,0.509583
798129,-0.99131364
374665,-0.9392774
162007,1.0625193
266206,2.639132
994584,1.4112821
513135,-0.53260696
231842,-0.5669083
340263,-0.7802337
672214,0.24405354
640097,1.5980817
604530,-0.04658106
367011,1.0948744
785148,-0.7774389
832902,0.7725301
433870,-1.688602
243579,0.090919115
18566,-1.7551181
116240,1.4986687
290262,-2.4492574
553454,1.5207021
830281,-1.4222288
451105,-0.1678946
496171,0.9893755
63641,-0.19431683
744055,-1.4494178
867892,-0.3651454
544332,1.5533698
167378,1.2792627
978307,0.014302477
113056,0.7356794
525535,1.0952419
894560,0.65036887
635846,0.38843954
570498,0.3478768
987787,-1.9833338
552047,2.415328
432880,-0.011014283
974996,1.1066084
571977,1.3525752
713538,-2.035218
528804,2.0031424
307282,-1.7647378
226622,-3.550364
698968,-1.6648998
945069,0.7483679
169885,-0.9532049
177116,2.0376499
398015,-2.5065615
255219,-0.11703773
970438,1.1009053
515262,0.10328311
449983,-0.058180675
539269,-0.044771135
443005,2.1473026
812110,-1.6953557
458408,-0.40182716
54981,-1.8220866
367907,-2.438189
791725,1.1441457
469142,0.046833634
260883,-1.4601022
886744,1.5584545
64917,1.0778944
177023,1.4215558
973906,-0.4767007
816964,-0.7228164
197520,-1.6331029
720184,0.96881175
72539,1.0405546
765019,-0.40391895
41533,0.03941661
752755,0.6666193
994926,1.1921183
1575,-2.4251068
657405,-2.2387717
444618,-0.36741054
594654,-2.0355415
281423,1.1296238
994047,-1.7008381
584683,1.2297134
514744,0.15691844
2300,-1.5762888
307934,0.33758885
609670,1.6759348
6802,-1.0167103
925223,0.98760295
427315,-2.2667465
294416,0.0062308162
266972,2.0350423
447529,0.8606602
238404,-0.314489
685531,0.31921375
827677,1.6133323
345964,2.809647
936589,3.4323025
726478,-1.4145764
522261,-1.6773918
391069,-1.2936563
539344,0.6641873
944972,-0.9997353
51143,1.600845
76865,2.5828838
165859,-1.5643411
794492,-1.2855179
79926,0.7076323
419559,-3.1233
69669,-0.43929523
440855,-0.9774338
474145,1.064416
161603,-0.4532697
459896,0.839086
884647,-1.054576
324518,0.60911137
669667,0.4203966
936340,1.7184011
115799,1.0375355
893569,-0.1842922
166090,1.4659584
588128,-0.037202924
768743,-1.1270068
860161,-1.1359551
357454,-1.2703574
499163,-1.3754399
918587,-2.3933153
922085,1.2350267
306136,-1.3853698
129345,1.6913507
210132,-0.4057724
735718,0.37830734
715048,-1.2666018
927141,-0.38171712
205903,2.1992588
23303,0.7970545
699074,-2.601077
694407,0.39565796
389246,-3.4275222
45202,-0.5640453
298871,-2.264416
29319,-1.927353
929596,0.40305653
46724,1.5360332
951627,2.1103354
186788,-1.6263502
551851,-2.1421268
989975,2.8444412
28173,1.0383797
875594,0.73502386
717401,-0.3205409
598150,-1.0972924
585110,0.60207534
836618,2.2301276
908364,-0.56274915
677501,1.0716835
796447,0.21694413
33233,-0.03894353
203556,0.57420063
801095,-1.451889
205709,-1.6106607
319890,-1.6323515
260479,-1.4123194
904004,-0.20423189
723359,0.56185615
864991,2.173385
647462,-1.2511101
598447,-0.42948154
864484,1.4120287
826923,2.2490046
128073,-0.5674705
462073,-0.25294775
752492,0.20049088
495486,1.3649348
780591,-0.2133211
312189,2.647654
279219,-2.6565259
541706,-1.6649121
792835,1.578488
887777,-0.16174859
772433,0.500268
156861,0.55857104
474441,0.15663058
118908,1.1991023
755628,-1.1004282
157591,-1.1285112
17244,1.3747782
517732,-1.2398677
765410,2.0254352
786913,0.998775
320809,-2.6646385
92679,0.590086
550636,0.7445418
661768,0.18361926
501506,-0.5863759
875878,-1.2698631
422466,0.8454824
720717,1.8326367
499673,-1.9537277
123849,-0.23933312
600426,-1.6778047
717188,-1.620141
318271,-1.4489362
857852,0.45277548
559901,-0.42196062
130562,1.4085201
400778,-0.10424098
868256,-1.6337333
357901,-0.7632671
569392,-0.5407779
619831,1.6939685
348613,-0.9601693
697032,-0.84728515
512988,-1.2606442
180771,-0.12110257
469886,-1.2766548
654848,1.9290318
603413,2.297299
573662,-0.022741586
475351,-0.40188938
370448,-1.2357879
735427,-0.21094197
994639,-1.6788335
767923,-0.6847954
47363,-2.208715
174817,-0.3639676
540466,-1.0487365
706360,-0.5320663
214508,0.9125848
491282,-0.41457903
13680,4.6487994
961950,0.12096709
949951,2.5619035
544010,3.130397
979640,-2.696086
820066,1.3704989
795666,2.2642815
228415,0.8651606
289643,-1.2864876
728998,-1.4415829
601812,-1.1298071
988980,-1.9585154
242629,-1.1383712
78780,-0.36397678
85569,-1.5450627
855369,-0.68225574
288422,0.6308266
538130,-1.5476972
425904,-2.1769886
799259,0.2737763
569376,-2.1660774
245285,2.6961563
841021,-2.3783941
369138,2.0501525
204827,-0.45510998
439918,2.4189463
550192,-0.5132266
915681,-1.2752892
976710,0.12687676
741847,-1.4401256
609302,2.195589
164714,2.0699081
107617,2.5118566
651435,1.0776408
562571,0.9155685
971995,-0.88268477
458413,0.23137823
949047,-0.0924868
500460,3.060817
635033,0.3968803
906201,0.792305
431414,2.8031197
608640,-2.1517043
283199,0.88801616
498859,1.0490117
520420,1.6237495
776901,0.023203537
600802,-1.1367064
627801,0.7877643
326555,1.483609
465975,-0.5074731
496538,-1.3248312
900748,1.2498403
413363,-1.8939053
287415,0.29568225
292231,-2.611874
317564,-0.7353786
393335,1.5287365
115671,-1.298526
680821,-1.856931
434223,-0.81902677
928781,0.9468378
779493,0.19374976
78197,-2.1512346
301586,0.73744667
828958,0.6894124
866497,-0.014977515
366517,2.7411897
634422,-0.9925262
824965,-2.3128192
343350,2.3524787
693793,-0.31502908
622739,1.1111774
646991,1.4126643
23584,-1.7566395
278283,-0.0147476345
227050,-1.5165095
930288,-0.5358912
843180,1.8604516
77872,-1.1172767
166931,-0.547791
105616,0.84269726
761261,-1.4415116
289603,-1.4473624
85901,-0.6508552
135410,2.0241313
196689,-2.0505643
630273,-0.863965
411213,-1.3428512
113381,-0.766325
176726,-1.9147048
824541,1.3367047
803142,-1.3270094
879426,1.18437
657053,1.3264316
205434,2.7118766
86494,-0.9672295
719102,-0.52594244
147173,2.2160125
587419,0.6462035
903597,1.3192843
207936,0.8437274
556721,1.7834002
762840,1.1175425
838456,-3.4307022
572734,1.8161981
365472,0.3628796
524614,0.074029
486536,-1.4161127
189043,-0.1850815
267201,1.4284554
109211,-1.5355359
901550,-1.0036334
666483,0.64520437
649802,1.2384284
228270,-1.1622458
246796,0.41684985
839447,-0.93249
548504,0.1600598
195333,-1.7645409
685195,-1.1089649
821650,-0.23381793
446920,-1.507432
755630,1.7278358
719237,-1.0117099
644196,-0.48077625
483888,-0.2192573
842770,2.417301
870473,-2.6168025
347689,1.9197662
857893,0.7497045
134478,-0.24253094
566582,1.9177848
403054,0.179485
410177,-2.736624
897650,-2.2972002
850966,-0.5442112
574496,-1.0610614
718324,1.6939044
160163,-1.5454266
500871,1.2767274
211473,2.2056558
119091,-1.09814
43998,-1.1664453
947460,1.5639871
601180,-1.8145959
116931,-2.256217
433644,-1.773736
11218,0.13767835
914786,-0.9608636
373806,2.0588074
541476,-0.2061347
197100,-0.8487564
920580,-2.4545953
447054,-2.32872
169435,-0.0014770925
115186,0.9699588
207034,-1.5053194
621558,1.0936561
368032,-0.058781892
23435,1.6075476
377495,-1.352772
774310,0.7793302
285903,-2.782799
725103,1.520359
705228,0.6840513
527724,0.3107844
683656,-1.1786923
605914,0.06730199
888651,2.4834962
940931,2.0878944
913235,-1.2734048
163467,0.5979843
819281,-2.0498166
487224,-2.5049818
806478,1.552013
646977,-0.26657754
966394,1.272309
467834,0.5471077
773307,0.93104815
823183,-2.1065633
853284,0.6971056
541161,-1.022831
640861,0.6258095
674846,0.31646073
955340,-1.8361433
46069,-0.49491566
265746,1.4892204
790121,0.78641516
789753,-2.120316
277376,0.053036526
970530,-1.7814738
575581,0.37607652
929512,-0.80359393
455284,-1.4640799
453166,-1.1783931
119955,1.3640447
